EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS
1	23:03:53	0.0000	0.0766	0.0502
2	23:03:59	0.0000	0.0399	0.0391
3	23:04:05	0.0000	0.0224	0.0208
4	23:04:11	0.0000	0.0130	0.0376
5	23:04:17	0.0000	0.0105	0.0191
6	23:04:24	0.0000	0.0060	0.0224
7	23:04:33	0.0000	0.0036	0.0237
8	23:04:41	0.0000	0.0027	0.0203
9	23:04:49	0.0000	0.0019	0.0220
10	23:04:57	0.0000	0.0014	0.0207
