EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS
1	23:16:11	0.0000	0.0741	0.0451
2	23:16:17	0.0000	0.0362	0.0267
3	23:16:23	0.0000	0.0216	0.0263
4	23:16:29	0.0000	0.0151	0.0191
5	23:16:35	0.0000	0.0084	0.0148
6	23:16:44	0.0000	0.0057	0.0198
7	23:16:53	0.0000	0.0045	0.0183
8	23:17:01	0.0000	0.0031	0.0198
9	23:17:10	0.0000	0.0020	0.0158
10	23:17:19	0.0000	0.0017	0.0157
